doi,score,n_components,parameter_completeness,verified_mes,has_abstract,citation_strength,year_recency
10.1093/9780197789964.003.0005,0.4250,5,0.125,0,1,0.000,1.000
10.1108/s1746-979120260000020004,0.4250,5,0.125,0,1,0.000,1.000
10.1108/978-1-80686-165-120261002,0.4250,5,0.125,0,1,0.000,1.000
10.62830/mmj3-01-4a,0.4000,5,0.000,0,1,0.000,1.000
10.24093/awej/vol17no1.6,0.4000,5,0.000,0,1,0.000,1.000
10.33864/2617-751x.2026.v9.i1.91-113,0.4000,5,0.000,0,1,0.000,1.000
10.15826/izv2.2025.27.4.070,0.4000,5,0.000,0,1,0.000,1.000
10.4028/p-ohcon8,0.4250,5,0.125,0,1,0.000,1.000
10.1182/bloodadvances.2025016765,0.4000,5,0.000,0,1,0.000,1.000
10.1182/bloodadvances.2025016858,0.4500,5,0.250,0,1,0.000,1.000
10.1093/9780198959168.003.0004,0.4000,5,0.000,0,1,0.000,1.000
10.1108/mf-10-2025-0818,0.4000,5,0.000,0,1,0.000,1.000
10.5091/plecevo.162396,0.4000,5,0.000,0,1,0.000,1.000
10.3748/wjg.v32.i9.115131,0.4000,5,0.000,0,1,0.000,1.000
10.3748/wjg.v32.i9.114302,0.4000,5,0.000,0,1,0.000,1.000
10.1108/cg-05-2024-0294,0.4000,5,0.000,0,1,0.000,1.000
10.1108/jhtt-12-2024-0862,0.4000,5,0.000,0,1,0.000,1.000
10.65579/31075037.0129,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fmed.2026.1792551,0.6250,5,0.125,1,1,0.000,1.000
10.38042/biotechstudies.1784164,0.7401,5,0.625,1,1,0.075,1.000
10.3389/fcimb.2026.1767035,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fcimb.2026.1793140,0.4750,5,0.375,0,1,0.000,1.000
10.61336/jiclt/26-01-71,0.4000,5,0.000,0,1,0.000,1.000
10.1093/jxb/erag119,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8759462/v1,0.4750,5,0.375,0,1,0.000,1.000
10.3389/fped.2026.1772948,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fcimb.2026.1780396,0.4250,5,0.125,0,1,0.000,1.000
10.3390/app16052505,0.4000,5,0.000,0,1,0.000,1.000
10.3390/en19051303,0.4500,5,0.250,0,1,0.000,1.000
10.3390/horticulturae12030309,0.4250,5,0.125,0,1,0.000,1.000
10.1242/jcs.264327,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fnut.2026.1792369,0.4500,5,0.250,0,1,0.000,1.000
10.3389/fpls.2026.1776686,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fpls.2026.1753587,0.4250,5,0.125,0,1,0.000,1.000
10.3390/antiox15030324,0.4000,5,0.000,0,1,0.000,1.000
10.1007/s00425-026-04961-9,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fimmu.2026.1759347,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8941089/v1,0.4250,5,0.125,0,1,0.000,1.000
10.3390/biomass6020021,0.6500,5,0.250,1,1,0.000,1.000
10.59896/pesolah.v2i1.602,0.4000,5,0.000,0,1,0.000,1.000
10.1038/s41419-026-08479-6,0.4250,5,0.125,0,1,0.000,1.000
10.3390/children13030368,0.4000,5,0.000,0,1,0.000,1.000
10.1038/s41929-026-01486-y,0.4250,5,0.125,0,1,0.000,1.000
10.3390/fermentation12030136,0.4000,5,0.000,0,1,0.000,1.000
10.18805/ijare.af-1010,0.4500,5,0.250,0,1,0.000,1.000
10.63313/ebm.9157,0.4000,5,0.000,0,1,0.000,1.000
10.3390/ijms27052401,0.4000,5,0.000,0,1,0.000,1.000
10.5194/se-17-429-2026,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fmicb.2026.1768797,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fenvs.2026.1778603,0.4500,5,0.250,0,1,0.000,1.000
10.3390/cells15050463,0.4000,5,0.000,0,1,0.000,1.000
10.1108/jsm-05-2025-0346,0.4000,5,0.000,0,1,0.000,1.000
10.1186/s40168-026-02365-1,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fcimb.2026.1765502,0.4000,5,0.000,0,1,0.000,1.000
10.3390/mi17030325,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fcell.2026.1753386,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fvets.2026.1770304,0.4250,5,0.125,0,1,0.000,1.000
10.3390/info17030257,0.4000,5,0.000,0,1,0.000,1.000
10.3390/machines14030296,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fcimb.2026.1774711,0.4250,5,0.125,0,1,0.000,1.000
10.1186/s41021-026-00356-0,0.2000,5,0.000,0,0,0.000,1.000
10.1016/j.biortech.2026.134330,0.6500,5,0.250,1,1,0.000,1.000
10.1039/d6ra00841k,0.4250,5,0.125,0,1,0.000,1.000
10.1016/j.biortech.2026.134328,0.6250,5,0.125,1,1,0.000,1.000
10.1016/j.biortech.2026.134258,0.6500,5,0.250,1,1,0.000,1.000
10.1007/s00502-026-01412-x,0.4000,5,0.000,0,1,0.000,1.000
10.1007/s00125-026-06688-4,0.4250,5,0.125,0,1,0.000,1.000
10.3390/nu18050834,0.4250,5,0.125,0,1,0.000,1.000
10.3390/microorganisms14030583,0.4250,5,0.125,0,1,0.000,1.000
10.1099/mgen.0.001599,0.4500,5,0.250,0,1,0.000,1.000
10.9734/jenrr/2026/v18i2497,0.4250,5,0.125,0,1,0.000,1.000
10.64898/2026.03.02.708872,0.4250,5,0.125,0,1,0.000,1.000
10.21203/rs.3.rs-8929317/v1,0.4500,5,0.250,0,1,0.000,1.000
10.37489/0235-2990-2025-70-11-12-5-13,0.4000,5,0.000,0,1,0.000,1.000
10.64898/2026.03.03.709330,0.4250,5,0.125,0,1,0.000,1.000
10.1093/jas/skag056,0.4500,5,0.250,0,1,0.000,1.000
10.1128/spectrum.00971-25,0.4000,5,0.000,0,1,0.000,1.000
10.1007/s11270-026-09307-5,0.4500,5,0.250,0,1,0.000,1.000
10.64898/2026.03.04.709460,0.7250,5,0.625,1,1,0.000,1.000
10.21203/rs.3.rs-8871589/v1,0.4250,5,0.125,0,1,0.000,1.000
10.3389/frsfm.2026.1750630,0.4500,5,0.250,0,1,0.000,1.000
10.21203/rs.3.rs-8826570/v1,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fcimb.2026.1741002,0.4000,5,0.000,0,1,0.000,1.000
10.3390/fermentation12030132,0.4000,5,0.000,0,1,0.000,1.000
10.3390/dj14030142,0.4250,5,0.125,0,1,0.000,1.000
10.19110/1994-5655-2026-1-68-72,0.4250,5,0.125,0,1,0.000,1.000
10.5194/bg-23-1739-2026,0.4500,5,0.250,0,1,0.000,1.000
10.9734/mrji/2026/v36i31718,0.4500,5,0.250,0,1,0.000,1.000
10.47260/jafb/1625,0.4500,5,0.250,0,1,0.000,1.000
10.64898/2026.03.02.708989,0.4000,5,0.000,0,1,0.000,1.000
10.3390/microorganisms14030580,0.4250,5,0.125,0,1,0.000,1.000
10.3390/polym18050634,0.4250,5,0.125,0,1,0.000,1.000
10.1186/s40168-026-02368-y,0.4250,5,0.125,0,1,0.000,1.000
10.1128/aem.02593-25,0.4000,5,0.000,0,1,0.000,1.000
10.64898/2026.03.02.709103,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fneur.2026.1722620,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fmicb.2026.1755652,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fnins.2026.1775002,0.4000,5,0.000,0,1,0.000,1.000
10.37489/0235-2990-2025-70-11-12-33-42,0.4250,5,0.125,0,1,0.000,1.000
10.1016/j.copbio.2026.103472,0.4000,5,0.000,0,1,0.000,1.000
10.1021/acs.analchem.5c06878,0.4500,5,0.250,0,1,0.000,1.000
10.1007/s12010-026-05601-4,0.4250,5,0.125,1,0,0.000,1.000
10.70382/ajsitr.v11i9.075,0.4250,5,0.125,0,1,0.000,1.000
10.1149/1945-7111/ae4cce,0.4250,5,0.125,0,1,0.000,1.000
10.64898/2026.02.28.708710,0.4250,5,0.125,0,1,0.000,1.000
10.1071/an25438,0.4750,5,0.375,0,1,0.000,1.000
10.21203/rs.3.rs-8967685/v1,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fenrg.2026.1731457,0.4250,5,0.125,0,1,0.000,1.000
10.64898/2026.03.03.709224,0.4250,5,0.125,0,1,0.000,1.000
10.1128/spectrum.02151-25,0.4000,5,0.000,0,1,0.000,1.000
10.1108/k-12-2024-3243,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8899298/v1,0.4000,5,0.000,0,1,0.000,1.000
10.1007/s00284-026-04793-6,0.4250,5,0.125,0,1,0.000,1.000
10.1128/spectrum.00395-25,0.4250,5,0.125,0,1,0.000,1.000
10.3390/microorganisms14030574,0.4000,5,0.000,0,1,0.000,1.000
10.1128/aem.00009-26,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fmicb.2026.1773863,0.4000,5,0.000,0,1,0.000,1.000
10.1186/s13293-026-00865-1,0.4000,5,0.000,0,1,0.000,1.000
10.20944/preprints202603.0252.v1,0.4651,5,0.250,0,1,0.075,1.000
10.1128/spectrum.01837-25,0.4250,5,0.125,0,1,0.000,1.000
10.63688/mtvpc760,0.4000,5,0.000,0,1,0.000,1.000
10.3390/hygiene6010012,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fmicb.2026.1777861,0.4250,5,0.125,0,1,0.000,1.000
10.1128/spectrum.01981-25,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fpsyt.2026.1677235,0.4250,5,0.125,0,1,0.000,1.000
10.15649/2346075x.5567,0.4500,5,0.250,0,1,0.000,1.000
10.1158/1541-7786.mcr-25-1270,0.4000,5,0.000,0,1,0.000,1.000
10.1186/s12896-026-01125-1,0.4500,5,0.250,0,1,0.000,1.000
10.1186/s12934-026-02954-7,0.4250,5,0.125,1,0,0.000,1.000
10.1021/acsomega.5c08225,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fvets.2026.1750799,0.4250,5,0.125,0,1,0.000,1.000
10.3390/cimb48030265,0.4250,5,0.125,0,1,0.000,1.000
10.3390/antibiotics15030257,0.4250,5,0.125,0,1,0.000,1.000
10.21705/mcbs.v10i1.721,0.4250,5,0.125,0,1,0.000,1.000
10.1007/s00248-026-02701-w,0.4500,5,0.250,0,1,0.000,1.000
10.22207/jpam.20.1.47,0.4000,5,0.000,0,1,0.000,1.000
10.1016/j.jenvman.2026.129058,0.5250,5,0.625,0,1,0.000,1.000
10.1016/j.biortech.2026.134288,0.6000,5,0.000,1,1,0.000,1.000
10.2174/0115701638367145250418033053,0.4000,5,0.000,0,1,0.000,1.000
10.1063/5.0320510,0.4250,5,0.125,0,1,0.000,1.000
10.1002/advs.202524234,0.4250,5,0.125,0,1,0.000,1.000
10.1016/j.biortech.2026.134281,0.6500,5,0.250,1,1,0.000,1.000
10.1016/j.jenvman.2026.129130,0.4250,5,0.125,0,1,0.000,1.000
10.3390/bios16020130,0.6750,5,0.375,1,1,0.000,1.000
10.1021/acs.est.5c17814,0.5000,5,0.500,0,1,0.000,1.000
10.61919/nxqvk372,0.4500,5,0.250,0,1,0.000,1.000
10.64898/2026.02.27.708470,0.4250,5,0.125,0,1,0.000,1.000
10.3390/microorganisms14030558,0.4000,5,0.000,0,1,0.000,1.000
10.30574/wjbphs.2026.25.2.0088,0.4000,5,0.000,0,1,0.000,1.000
10.24996/ijs.2026.67.2.17,0.4000,5,0.000,0,1,0.000,1.000
10.33961/jecst.2025.00584,0.4000,5,0.000,0,1,0.000,1.000
10.3390/bioengineering13020211,0.4250,5,0.125,0,1,0.000,1.000
10.1002/smtd.202502313,0.6500,5,0.250,1,1,0.000,1.000
10.4271/2026-01-7012,0.4250,5,0.125,0,1,0.000,1.000
10.3390/molecules31050800,0.4250,5,0.125,0,1,0.000,1.000
10.4271/2026-01-7016,0.4250,5,0.125,0,1,0.000,1.000
10.1038/s41467-026-69750-0,0.4500,5,0.250,0,1,0.000,1.000
10.21203/rs.3.rs-8655073/v1,0.4000,5,0.000,0,1,0.000,1.000
10.1039/9781837678440-00111,0.4250,5,0.125,0,1,0.000,1.000
10.17776/csj.1790629,0.4250,5,0.125,0,1,0.000,1.000
10.1039/9781837678440-00174,0.4250,5,0.125,0,1,0.000,1.000
10.1016/j.biortech.2026.134276,0.7000,5,0.500,1,1,0.000,1.000
10.3389/fmicb.2026.1753858,0.4000,5,0.000,0,1,0.000,1.000
10.1016/j.watres.2026.125599,0.4750,5,0.375,0,1,0.000,1.000
10.1002/hipo.70083,0.4000,5,0.000,0,1,0.000,1.000
10.1016/j.chemosphere.2026.144878,0.4750,5,0.375,0,1,0.000,1.000
10.1108/wje-07-2025-0477,0.4750,5,0.375,0,1,0.000,1.000
10.69760/lumin.2026001006,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8864095/v1,0.6500,5,0.250,1,1,0.000,1.000
10.1038/s41419-026-08521-7,0.4000,5,0.000,0,1,0.000,1.000
10.1007/s11694-026-04128-w,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-7227821/v1,0.4000,5,0.000,0,1,0.000,1.000
10.1038/s41598-026-41297-6,0.4651,5,0.250,0,1,0.075,1.000
10.1088/2631-8695/ae4a6e,0.4401,5,0.125,0,1,0.075,1.000
10.21203/rs.3.rs-8834018/v1,0.4250,5,0.125,0,1,0.000,1.000
10.1038/s41467-026-69834-x,0.4250,5,0.125,0,1,0.000,1.000
41709708,0.7500,4,0.000,1,1,,1.000
41217719,0.8438,4,0.375,1,1,,1.000
41672884,0.8125,4,0.250,1,1,,1.000
10.1016/j.bioflm.2026.100354,0.7000,5,0.500,1,1,0.000,1.000
10.1016/j.jhazmat.2026.141550,0.4500,5,0.250,0,1,0.000,1.000
10.3390/foods15050799,0.4250,5,0.125,0,1,0.000,1.000
10.21203/rs.3.rs-8895010/v1,0.4500,5,0.250,0,1,0.000,1.000
10.1128/spectrum.04000-25,0.4250,5,0.125,0,1,0.000,1.000
10.1364/josab.580656,0.4000,5,0.000,0,1,0.000,1.000
10.3390/s26051411,0.4250,5,0.125,0,1,0.000,1.000
10.21203/rs.3.rs-8565314/v1,0.4500,5,0.250,0,1,0.000,1.000
10.3389/fpls.2026.1745488,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fsci.2026.1688727,0.7051,5,0.375,1,1,0.151,1.000
10.3389/fmicb.2026.1768747,0.4250,5,0.125,0,1,0.000,1.000
10.3390/su18052173,0.4000,5,0.000,0,1,0.000,1.000
10.3390/microorganisms14030524,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8696775/v1,0.4250,5,0.125,0,1,0.000,1.000
10.17504/protocols.io.n92ldrqnxg5b/v2,0.4000,5,0.000,0,1,0.000,1.000
10.3390/nano16050285,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8883797/v1,0.4250,5,0.125,0,1,0.000,1.000
10.64898/2026.02.24.707719,0.4000,5,0.000,0,1,0.000,1.000
10.1371/journal.pone.0335163,0.4000,5,0.000,0,1,0.000,1.000
10.1128/msphere.00594-25,0.4000,5,0.000,0,1,0.000,1.000
10.64898/2026.02.23.706156,0.4000,5,0.000,0,1,0.000,1.000
10.1139/bcb-2026-0013,0.4000,5,0.000,0,1,0.000,1.000
10.9734/ajeba/2026/v26i22191,0.4250,5,0.125,0,1,0.000,1.000
10.3390/jcs10030116,0.4500,5,0.250,0,1,0.000,1.000
10.3389/fcell.2026.1750233,0.4000,5,0.000,0,1,0.000,1.000
10.3390/agronomy16050502,0.4250,5,0.125,0,1,0.000,1.000
10.1099/mgen.0.001650,0.4250,5,0.125,0,1,0.000,1.000
10.12688/wellcomeopenres.26048.1,0.4000,5,0.000,0,1,0.000,1.000
10.3390/ma19050831,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fpls.2026.1767299,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fmicb.2026.1757844,0.4250,5,0.125,0,1,0.000,1.000
10.1038/s41420-026-02955-w,0.4250,5,0.125,0,1,0.000,1.000
10.3390/ma19050834,0.4901,5,0.375,0,1,0.075,1.000
10.54254/2755-2721/2026.bj31850,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fmars.2026.1769457,0.4151,5,0.000,0,1,0.075,1.000
10.21203/rs.3.rs-8737816/v1,0.4000,5,0.000,0,1,0.000,1.000
10.51891/rease.v12i2.24368,0.4000,5,0.000,0,1,0.000,1.000
10.25259/jqus_40_2025,0.4000,5,0.000,0,1,0.000,1.000
10.1093/ismeco/ycag027,0.4250,5,0.125,0,1,0.000,1.000
10.14738/tnc.1401.20006,0.4250,5,0.125,0,1,0.000,1.000
10.3390/en19051114,0.4000,5,0.000,0,1,0.000,1.000
10.25041/constitutionale.v6i2.4647,0.4000,5,0.000,0,1,0.000,1.000
10.1128/aem.01581-25,0.4250,5,0.125,0,1,0.000,1.000
10.1093/oxfordhb/9780192873170.013.0042,0.4250,5,0.125,0,1,0.000,1.000
10.1038/s41421-026-00870-z,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fmicb.2026.1706522,0.4250,5,0.125,0,1,0.000,1.000
10.1007/s12053-026-10422-9,0.4000,5,0.000,0,1,0.000,1.000
10.31223/x52j3p,0.4250,5,0.125,0,1,0.000,1.000
10.1177/01436244261429218,0.4250,5,0.125,0,1,0.000,1.000
10.55041/ijsrem56898,0.4250,5,0.125,0,1,0.000,1.000
10.3390/environments13030125,0.4401,5,0.125,0,1,0.075,1.000
10.64898/2026.02.23.707227,0.4151,5,0.000,0,1,0.075,1.000
10.54254/2755-2721/2026.mh31784,0.4250,5,0.125,0,1,0.000,1.000
10.21203/rs.3.rs-8872349/v1,0.4500,5,0.250,0,1,0.000,1.000
10.3390/polym18050546,0.4250,5,0.125,0,1,0.000,1.000
10.1146/annurev-arplant-070225-033859,0.4250,5,0.125,0,1,0.000,1.000
10.1088/2631-8695/ae49e9,0.4500,5,0.250,0,1,0.000,1.000
10.3390/w18050529,0.4250,5,0.125,0,1,0.000,1.000
10.3390/jfb17030108,0.4250,5,0.125,0,1,0.000,1.000
10.1109/tps.2025.3646554,0.4500,5,0.250,0,1,0.000,1.000
10.1073/pnas.2505598122,0.4250,5,0.125,0,1,0.000,1.000
41653810,0.5000,4,0.000,0,1,,1.000
10.3390/ijms27042084,0.6901,5,0.375,1,1,0.075,1.000
10.64898/2026.02.21.707176,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8553127/v1,0.6500,5,0.250,1,1,0.000,1.000
10.1007/s11274-025-04739-3,0.5000,5,0.500,0,1,0.000,1.000
10.1108/ijmf-07-2025-0351,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fnut.2026.1757182,0.4250,5,0.125,0,1,0.000,1.000
10.3390/fermentation12020121,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fmicb.2025.1753983,0.4500,5,0.250,0,1,0.000,1.000
10.1093/femsec/fiag009,0.4000,5,0.000,0,1,0.000,1.000
10.64898/2026.02.23.707458,0.4500,5,0.250,0,1,0.000,1.000
10.3389/fbioe.2026.1753183,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fmicb.2026.1709097,0.4000,5,0.000,0,1,0.000,1.000
10.1128/spectrum.02836-25,0.4250,5,0.125,0,1,0.000,1.000
10.1128/mbio.01172-25,0.4000,5,0.000,0,1,0.000,1.000
10.7717/peerj.20864,0.4250,5,0.125,0,1,0.000,1.000
10.1177/18785093261421593,0.4500,5,0.250,0,1,0.000,1.000
10.3389/frmbi.2026.1735358,0.4000,5,0.000,0,1,0.000,1.000
10.3389/fmicb.2026.1751932,0.4250,5,0.125,0,1,0.000,1.000
10.21203/rs.3.rs-8734723/v1,0.4000,5,0.000,0,1,0.000,1.000
10.1149/1945-7111/ae41e9,0.4000,5,0.000,0,1,0.000,1.000
10.23939/chcht20.01.010,0.4250,5,0.125,0,1,0.000,1.000
10.3389/fmicb.2026.1793191,0.4250,5,0.125,0,1,0.000,1.000
10.64898/2026.02.23.707475,0.4401,5,0.125,0,1,0.075,1.000
10.1093/tas/txag023,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8853068/v1,0.4250,5,0.125,0,1,0.000,1.000
10.3390/jrfm19020162,0.4000,5,0.000,0,1,0.000,1.000
10.1088/1674-1056/ae48b9,0.4500,5,0.250,0,1,0.000,1.000
10.12688/wellcomeopenres.25908.1,0.4000,5,0.000,0,1,0.000,1.000
10.21203/rs.3.rs-8711724/v1,0.4000,5,0.000,0,1,0.000,1.000
10.1371/journal.pone.0343526,0.4500,5,0.250,0,1,0.000,1.000
10.12688/wellcomeopenres.26088.1,0.4000,5,0.000,0,1,0.000,1.000
10.58432/aptd3z37,0.4500,5,0.250,0,1,0.000,1.000
10.3390/microorganisms14020513,0.4000,5,0.000,0,1,0.000,1.000
41720411,0.7813,4,0.125,1,1,,1.000
10.64477/501491-498,0.6500,5,0.250,1,1,0.000,1.000
41724141,0.5000,4,0.000,0,1,,1.000
41713753,0.7813,4,0.125,1,1,,1.000
41592654,0.8438,4,0.375,1,1,,1.000
41722313,0.5625,4,0.250,0,1,,1.000
41687886,0.5313,4,0.125,0,1,,1.000
41628802,0.5625,4,0.250,0,1,,1.000
41650923,0.5313,4,0.125,0,1,,1.000
41672313,0.7500,4,0.000,1,1,,1.000
41687893,0.5313,4,0.125,0,1,,1.000
41687891,0.7813,4,0.125,1,1,,1.000
41722134,0.7813,4,0.125,1,1,,1.000
41651183,0.7813,4,0.125,1,1,,1.000
41666551,0.5625,4,0.250,0,1,,1.000
41687889,0.8125,4,0.250,1,1,,1.000
41690411,0.8125,4,0.250,1,1,,1.000
41606576,0.8125,4,0.250,1,1,,1.000
10.1002/adhm.202503893,0.4000,5,0.000,0,1,0.000,1.000
10.1002/adem.202503024,0.4500,5,0.250,0,1,0.000,1.000
41717017,0.8125,4,0.250,1,1,,1.000
41688431,0.7500,4,0.000,1,1,,1.000
41690409,0.8125,4,0.250,1,1,,1.000
41707973,0.7500,4,0.000,1,1,,1.000
41611933,0.5000,4,0.000,0,1,,1.000
10.3390/molecules31040716,0.6750,5,0.375,1,1,0.000,1.000
10.3390/en19041076,0.4750,5,0.375,0,1,0.000,1.000
41707412,0.7500,4,0.000,1,1,,1.000
41705029,0.7813,4,0.125,1,1,,1.000
10.1002/cmdc.202500921,0.4000,5,0.000,0,1,0.000,1.000
41707576,0.7813,4,0.125,1,1,,1.000
10.1149/1945-7111/ae4781,0.4000,5,0.000,0,1,0.000,1.000
10.1002/smtd.202502422,0.4000,5,0.000,0,1,0.000,1.000
41699645,0.5000,4,0.000,0,1,,1.000
41702239,0.7813,4,0.125,1,1,,1.000
41702164,0.7813,4,0.125,1,1,,1.000
41687888,0.5313,4,0.125,0,1,,1.000
41702077,0.5625,4,0.250,0,1,,1.000
41667041,0.6563,4,0.625,0,1,,1.000
41655715,0.5313,4,0.125,0,1,,1.000
10.1002/aenm.70758,0.4000,5,0.000,0,1,0.000,1.000
10.1007/s40820-026-02084-0,0.4250,5,0.125,0,1,0.000,1.000
10.21203/rs.3.rs-8770204/v1,0.4250,5,0.125,0,1,0.000,1.000
10.1002/aic.70294,0.4000,5,0.000,0,1,0.000,1.000
10.1007/s40820-025-02063-x,0.4151,5,0.000,0,1,0.075,1.000
41697148,0.5000,4,0.000,0,1,,1.000
41120684,0.7500,4,0.000,1,1,,1.000
10.1002/eem2.70310,0.4500,5,0.250,0,1,0.000,1.000
10.1063/5.0314623,0.4250,5,0.125,0,1,0.000,1.000
41581479,0.9063,4,0.625,1,1,,1.000
41605273,0.6563,4,0.625,0,1,,1.000
41565041,0.7813,4,0.125,1,1,,1.000
41611026,0.5625,4,0.250,0,1,,1.000
10.1016/j.biortech.2026.134074,0.4000,5,0.000,0,1,0.000,1.000
41621543,0.8125,4,0.250,1,1,,1.000
41621546,0.5625,4,0.250,0,1,,1.000
41581620,0.5938,4,0.375,0,1,,1.000
41605278,0.5938,4,0.375,0,1,,1.000
41565037,0.5938,4,0.375,0,1,,1.000
41592656,0.7813,4,0.125,1,1,,1.000
41611027,0.8125,4,0.250,1,1,,1.000
41581622,0.8125,4,0.250,1,1,,1.000
41592659,0.5625,4,0.250,0,1,,1.000
41620043,0.5625,4,0.250,0,1,,1.000
41580244,0.5625,4,0.250,0,1,,1.000
41691662,0.5313,4,0.125,0,1,,1.000
41581618,0.8438,4,0.375,1,1,,1.000
41690020,0.5313,4,0.125,0,1,,1.000
41690271,0.7813,4,0.125,1,1,,1.000
10.1038/s44321-025-00368-3,0.4000,5,0.000,0,1,0.000,1.000
41687164,0.8125,4,0.250,1,1,,1.000
41687581,0.8438,4,0.375,1,1,,1.000
10.3390/blsf2025054023,0.6500,5,0.250,1,1,0.000,1.000
41564758,0.5625,4,0.250,0,1,,1.000
41529632,0.5313,4,0.125,0,1,,1.000
10.64898/2026.02.11.701306,0.6750,5,0.375,1,1,0.000,1.000
41679058,0.8750,4,0.500,1,1,,1.000
41643469,0.5938,4,0.375,0,1,,1.000
41581462,0.7813,4,0.125,1,1,,1.000
41679967,0.8750,4,0.500,1,1,,1.000
41677575,0.5000,4,0.000,0,1,,1.000
41576815,0.5625,4,0.250,0,1,,1.000
41619429,0.5313,4,0.125,0,1,,1.000
10.1007/s00210-025-04586-x,0.4250,5,0.125,0,1,0.000,1.000
41638320,0.5000,4,0.000,0,1,,1.000
41580152,0.7813,4,0.125,1,1,,1.000
41670662,0.8438,4,0.375,1,1,,1.000
41664236,0.5938,4,0.375,0,1,,1.000
41671997,0.6250,4,0.500,0,1,,1.000
41666731,0.6250,4,0.500,0,1,,1.000
41644595,0.5625,4,0.250,0,1,,1.000
