doi,title,year,journal,systemType,anodeMaterials,cathodeMaterials,powerOutput,efficiency,qualityScore,parameterCompleteness,aiConfidence,reproducibilityScore,citationCount
10.1002/9780470054581.eib466,"Monooxygenases, Bacterial: Oxidation of Alkenes",,Encyclopedia of Industrial Biotechnology,MES,,,,,,0.25,0.9,,2
10.1002/9780470054581.eib556,Steroid Bioconversion,2010,Encyclopedia of Industrial Biotechnology,MES,,,,,,0.125,1,,3
10.1002/9780470686652.eae234,Electroactive Polymers (<scp>EAP</scp>) as Actuators for Aerospace Engineering,2010,Encyclopedia of Aerospace Engineering,MES,,,,,,0.125,1,,3
10.1002/9780470974001.f101001,The components of an electrochemical cell,2010,Handbook of Fuel Cells,MES,,,,,,0,0.9,,6
10.1002/9780470974001.f301004,Synthetic hydrocarbons as long‐term fuel option,2010,Handbook of Fuel Cells,MES,,,,,,0,0.85,,0
10.1002/9780470974001.f500006,Enzyme catalysis in biological fuel cells,2010,Handbook of Fuel Cells,MES,,,,,,0.125,1,,9
10.1002/9780470974001.f500045,Performance during start‐up of proton exchange membrane (<scp>PEM</scp>) fuel cells at subfreezing conditions,2010,Handbook of Fuel Cells,MEC,,electrode as well as the estimated water partitioning into these two locations as a function of operating conditions has not been discussed in detail and is presented here,,,,0.375,0.7,,2
10.1002/9780470974001.f500049,Modeling the impact of cation contamination in a polymer electrolyte membrane fuel cell,2010,Handbook of Fuel Cells,MFC,and cathode,under the influence of the potential gradient while diffusion acts to balance this migration,,,,0.25,0.7,,27
10.1002/9780470975831.CH12,"Comparative Performance of Leading Pretreatment Technologies for Biological Conversion of Corn Stover, Poplar Wood, and Switchgrass to Sugars",2013,Aqueous Pretreatment of Plant Biomass for Biological and Chemical Conversion to Fuels and Chemicals,MES,,,,,,0.25,1,,50
10.1002/9781118755471.sgd017,Evolution of the Smart Distribution Grid,,Smart Grid Handbook,MES,,,,,,0,0.95,,1
10.1002/9781118991978.hces009,Introduction: Clean Energy Conversion Technologies,2015,Handbook of Clean Energy Systems,MES,,,,,,0.125,0.9,,3
10.1002/9781118991978.hces069,Microbial Fuel Cell for Biomass Energy Conversion,2015,Handbook of Clean Energy Systems,MEC,,,,,,0.125,0.6,,0
10.1002/9781118991978.hces125,Waste and Biomass to Clean Energy,2015,Handbook of Clean Energy Systems,MES,,,,,,0.375,0.9,,3
10.1002/9781118991978.hces199,Clean Energy‐Based Production of Hydrogen: An Energy Carrier,2015,Handbook of Clean Energy Systems,MES,,,,,,0.125,0.9,,6
10.1002/9781119300762.wsts0006,Microbial Exudates,2019,Encyclopedia of Water,MES,,,,,,0,0.8,,0
10.1002/9781119300762.wsts0174,Microbial Biofilms,2019,Encyclopedia of Water,MES,,,,,,0.375,0.9,,0
10.1002/9781119300762.wsts0196,Microbial Interactions in Anaerobic Wastewater Treatment,2019,Encyclopedia of Water,MES,,,,,,0.25,1,,1
10.1002/9781119951438.eibc2393,Ionic Liquids: Bacterial Degradation in Wastewater Treatment Plants,2016,Encyclopedia of Inorganic and Bioinorganic Chemistry,MES,,,,,,0.5,1,,9
10.1002/9781119951438.eibc2792,Respiration in Electroactive Bacteria: Bioinorganic Aspects,2023,Encyclopedia of Inorganic and Bioinorganic Chemistry,MES,,,,,,0.25,0.9,,1
10.1002/9783527603978.mst0397,Microbial Corrosion,2013,Materials Science and Technology,MES,,,,,,0,0.9,,0
10.1002/9783527603978.mst0478,Bacterial‐Cellulose‐Based Biomaterials for Tissue Engineering Applications,2019,Materials Science and Technology,MES,,,,,,0.25,1,,3
10.1002/9783527610426.bard090007,Electrochemical Measurements of Nitric Oxide in Biological Systems,2002,Encyclopedia of Electrochemistry,MES,,,,,,0.125,0.9,,1
10.1002/9783527610426.bard090008,Scanning Electrochemical Microscopy Applied to Biological Systems,2002,Encyclopedia of Electrochemistry,MES,,,,,,0.125,0.9,,5
10.1002/9783527610426.bard120082,Waste‐to‐Energy: Microbial Fuel Cells as an Innovation Platform for Sustainable Development,2021,Encyclopedia of Electrochemistry,MFC,,,,,,0.125,0.95,,2
10.1002/9783527620937.ch1,Bioelectrochemical Fuel Cells,2001,Biotechnology,BES,,,,,,0.125,0.55,,5
10.1002/9783527839001.ch16,Microbial Desalination Cell,2023,Microbial Electrochemical Technologies,MDC,,,,,,0,0.55,,1
10.1002/9783527839001.ch20,"Photosynthetic Microbial Fuel Cell, Biophotovoltaic Cell, and Microbial Carbon‐Capture Cell",2023,Microbial Electrochemical Technologies,MFC,,,,,,0,0.55,,2
10.1002/abio.370070412,Conversion of lactose to methane by defined bacterial cocultures,1987,Acta Biotechnologica,MES,,,,,,0.25,1,,3
10.1002/abio.370150119,The microbial conversion of different agricultural residues and its biological efficiency,1995,Acta Biotechnologica,MES,,,,,,0.125,0.9,,6
10.1002/ad.721,Anthropoidal Energy Production: Generating and Harvesting Electricity from Human Power,2008,Architectural Design,MES,,,,,,0,0.8,,0
10.1002/adbi.202101296,Development of Whole Genome‐Scale Base Editing Toolbox to Promote Efficiency of Extracellular Electron Transfer in Shewanella oneidensis MR‐1,2022,Advanced Biology,MES,,,,,,0.25,1,,13
10.1002/adem.201200144,Viability Study of the Use of Cast Iron Open Cell Foam as Microbial Fuel Cell Electrodes,2012,Advanced Engineering Materials,MFC,,,,,,0.25,0.6,,6
10.1002/adem.201600596,"Highly Thermally Conductive Yet Flexible Composite of Carbon Fiber, Carbon Nanotube, and Rubber Obtained by Decreasing the Thermal Resistivity at the Interface between Carbon Fiber and Carbon Nanotube",2016,Advanced Engineering Materials,BES,"[""carbon nanotube"",""carbon fiber""]","[""carbon"",""iron"",""Fe""]",,,,0.25,0.75,,35
10.1002/adem.202503024,Chromium Titanium Yttrium Oxide Nanocomposites Used to Modify Carbon Paste Electrode for Simultaneous Voltammetric Study of 4‐Aminophenol and 4‐Acetamidophenol,2026,Advanced Engineering Materials,MEC,,,,,,0.25,0.75,,0
10.1002/adfm.200801782,An Optically Active Polythiophene Exhibiting Electrochemically Driven Light‐Interference Modulation,2009,Advanced Functional Materials,MES,,,,,,0.125,1,,23
10.1002/adfm.201400597,"Doping‐Free Organic Light‐Emitting Diodes with Very High Power Efficiency, Simple Device Structure, and Superior Spectral Performance",2014,Advanced Functional Materials,MEC,,,,,,0.25,0.65,,78
10.1002/adfm.201670112,Nanotube Arrays: Radially Aligned Porous Carbon Nanotube Arrays on Carbon Fibers: A Hierarchical 3D Carbon Nanostructure for High‐Performance Capacitive Energy Storage (Adv. Funct. Mater. 18/2016),2016,Advanced Functional Materials,MFC,"[""carbon nanotube"",""carbon fiber""]","[""carbon""]",,,,0.25,0.5,,2
10.1002/adfm.201803291,Heterostructures for Electrochemical Hydrogen Evolution Reaction: A Review,2018,Advanced Functional Materials,MES,,,,,,0.25,0.9,,1373
10.1002/adfm.201804004,Enhanced Biological Photosynthetic Efficiency Using Light‐Harvesting Engineering with Dual‐Emissive Carbon Dots,2018,Advanced Functional Materials,MES,,,,,,0.25,0.9,,338
10.1002/adfm.201804860,Porous Hollow Fiber Nickel Electrodes for Effective Supply and Reduction of Carbon Dioxide to Methane through Microbial Electrosynthesis,2018,Advanced Functional Materials,,,,,,,,0.6,,139
10.1002/adfm.201806353,Antimicrobial Peptide Functionalized Conductive Nanowire Array Electrode as a Promising Candidate for Bacterial Environment Application,2019,Advanced Functional Materials,MES,,,,,,0.25,1,,18
10.1002/adfm.201901798,Biological Nanofibrous Generator for Electricity Harvest from Moist Air Flow,2019,Advanced Functional Materials,MES,,,,,,0.25,0.9,,275
10.1002/adfm.201902059,High Performance Anion Exchange Membrane Fuel Cells Enabled by Fluoropoly(olefin) Membranes,2019,Advanced Functional Materials,MFC,,,,1,,0.375,0.7,,185
10.1002/adfm.201908842,An Autonomous Soft Actuator with Light‐Driven Self‐Sustained Wavelike Oscillation for Phototactic Self‐Locomotion and Power Generation,2020,Advanced Functional Materials,MES,,,,,,0.125,1,,198
10.1002/adfm.201909049,Recent Advances in Host–Guest Self‐Assembled Cyclodextrin Carriers: Implications for Responsive Drug Delivery and Biomedical Engineering,2020,Advanced Functional Materials,,,,,,,,0.6,,465
10.1002/adfm.201909432,Photothermal Janus Anode with Photosynthesis‐Shielding Effect for Activating Low‐Temperature Biological Wastewater Treatment,2019,Advanced Functional Materials,MFC,,,,,,,0.6,,26
10.1002/adfm.201910096,Dual 3D Ceramic Textile Electrodes: Fast Kinetics for Carbon Oxidation Reaction and Oxygen Reduction Reaction in Direct Carbon Fuel Cells at Reduced Temperatures,2020,Advanced Functional Materials,BES,and cathode,shows electrochemical performance superior to that of the conventional screen‐printed ssc–gdc,,,,0.375,0.7,,22
10.1002/adfm.202007110,A MXene‐Based Hierarchical Design Enabling Highly Efficient and Stable Solar‐Water Desalination with Good Salt Resistance,2020,Advanced Functional Materials,MES,,,,,,0.125,0.9,,360
10.1002/adfm.202007855,Salt Mitigation Strategies of Solar‐Driven Interfacial Desalination,2020,Advanced Functional Materials,MES,,,,,,0.25,0.9,,378
10.1002/adfm.202100833,A Versatile Approach to Boost Oxygen Reduction of Fe‐N<sub>4</sub> Sites by Controllably Incorporating Sulfur Functionality,2021,Advanced Functional Materials,,,,,,,,0.6,,149
10.1002/adfm.202104380,Highly Salt‐Resistant 3D Hydrogel Evaporator for Continuous Solar Desalination via Localized Crystallization,2021,Advanced Functional Materials,MES,,,,,,0.125,0.8,,332
10.1002/adfm.202107360,"Modulus‐Tailorable, Stretchable, and Biocompatible Carbonene Fiber for Adaptive Neural Electrode",2022,Advanced Functional Materials,MEC,,,,,,0.25,1,,30
10.1002/adfm.202107683,Coupling the Atomically Dispersed Fe‐N3 Sites with Sub‐5 nm Pd Nanocrystals Confined in N‐Doped Carbon Nanobelts to Boost the Oxygen Reduction for Microbial Fuel Cells,2021,Advanced Functional Materials,MFC,,,,,,0.25,1,,39
10.1002/adfm.202201021,Anti‐Fatigue and Highly Conductive Thermocells for Continuous Electricity Generation,2022,Advanced Functional Materials,MES,,,,,,0.25,1,,85
10.1002/adfm.202203029,Triboelectric Nanogenerators for Cellular Bioelectrical Stimulation,2022,Advanced Functional Materials,MES,,,,,,0.125,1,,46
10.1002/adfm.202203430,"Biomedical Applications of MXene‐Integrated Composites: Regenerative Medicine, Infection Therapy, Cancer Treatment, and Biosensing",2022,Advanced Functional Materials,,,,,,,,0.6,,221
10.1002/adfm.202300403,A Bio‐Inspired Temperature‐Arousing Battery with Giant Power for Fire Alarming,2023,Advanced Functional Materials,MES,,,,,,0.125,1,,13
10.1002/adfm.202300710,Double Cross‐Linked Biomimetic Hyaluronic Acid‐Based Hydrogels with Thermo‐Stimulated Self‐Contraction and Tissue Adhesiveness for Accelerating Post‐Wound Closure and Wound Healing,2023,Advanced Functional Materials,MES,,,,,,0.125,1,,173
10.1002/adfm.202300895,Carbon Black‐Supported Single‐Atom CoNC as an Efficient Oxygen Reduction Electrocatalyst for H2O2 Production in Acidic Media and Microbial Fuel Cell in Neutral Media,2023,Advanced Functional Materials,MFC,,,,,,0.375,1,,59
10.1002/adfm.202302524,Utilizing Parasitic Capacitance of Single‐Droplet Electricity Generator For Specific Bacterial Detection,2023,Advanced Functional Materials,MES,,,,,,0.25,1,,27
10.1002/adfm.202303134,Highly Stretchable and Flexible Electrospinning‐Based Biofuel Cell for Implantable Electronic,2023,Advanced Functional Materials,,,,,,,,0.6,,34
10.1002/adfm.202304790,Metal–Organic Frameworks for Water Desalination,2023,Advanced Functional Materials,MES,,,,,,0.25,0.9,,105
10.1002/adfm.202308492,Self‐Assembled Nanofibrous Hydrogels with Tunable Porous Network for Highly Efficient Solar Desalination in Strong Brine,2023,Advanced Functional Materials,MES,,,,,,0.125,0.8,,98
10.1002/adfm.202314024,Manipulation of Surface Electrical Charge on Nanocomposite Membranes Confers Wide Spectrum Bactericidal Effects and Promotes Tissue Regeneration,2024,Advanced Functional Materials,,,,,,,,0.6,,26
10.1002/adfm.202408386,Current Progress on Scale‐Up and Commercialization of Microbially‐Produced Silk,2024,Advanced Functional Materials,MES,,,,,,0.25,0.95,,11
10.1002/adfm.202413760,Unlocking the Rhythmic Power of Bacterial Cellulose: A Comprehensive Review on Green Energy Harvesting and Sustainable Applications,2025,Advanced Functional Materials,MES,,,,,,0.25,1,,17
10.1002/adfm.202509900,Harnessing Synthetic Biology for Sustainable Recovery of Critical Metal Materials from Electronic Waste,2025,Advanced Functional Materials,,,,,,,,0.6,,2
10.1002/adfm.202515523,Cu‐MOF Functionalized Hydroxyapatite/Bacterial Cellulose Composite Separator Enabling Dendrite‐Free Fast Charging and Enhanced Thermal Safety for High‐Loading Graphite Anode,2026,Advanced Functional Materials,MES,,,,,,0.375,0.9,,4
10.1002/adhm.201901215,Probing the Impedance of a Biological Tissue with PEDOT:PSS‐Coated Metal Electrodes: Effect of Electrode Size on Sensing Efficiency,2019,Advanced Healthcare Materials,MES,,,,,,0.125,0.9,,34
10.1002/adhm.202201856,A Conductive Bioengineered Cardiac Patch for Myocardial Infarction Treatment by Improving Tissue Electrical Integrity,2022,Advanced Healthcare Materials,MES,,,,,,0.125,1,,60
10.1002/adhm.202202661,Pure Conducting Polymer Hydrogels Increase Signal‐to‐Noise of Cutaneous Electrodes by Lowering Skin Interface Impedance,2023,Advanced Healthcare Materials,,,,,,,,0.6,,34
10.1002/adhm.202301759,Electroactive Polymers for On‐Demand Drug Release,2023,Advanced Healthcare Materials,MES,,,,,,0.125,1,,54
10.1002/adhm.202502058,Bioengineered Hydrogels for Restoring Cardiac Electronic Activity after Myocardial Infarction.,2025,Advanced Healthcare Materials,MES,,,,,,0.125,0.95,,0
10.1002/adhm.202503893,Understanding the Effects of Conductive Polymer Electrode Coating on Recorded Neural Signals,2026,Advanced Healthcare Materials,MEC,,,,,,0,0.75,,0
10.1002/adma.19970091412,Encapsulated electroactive molecules,1997,Advanced Materials,MES,,,,,,0.125,0.9,,44
10.1002/adma.200305424,Ordered Mesoporous Niobium Oxide Film: A Novel Matrix for Assembling Functional Proteins for Bioelectrochemical Applications,2003,Advanced Materials,BES,,"[""Ni""]",,,,0.125,0.75,,149
10.1002/adma.201500487,Membrane‐Intercalating Conjugated Oligoelectrolytes: Impact on Bioelectrochemical Systems,2015,Advanced Materials,BES,,,,,,0.125,1,,60
10.1002/adma.201502403,Structural Design Elements in Biological Materials: Application to Bioinspiration,2015,Advanced Materials,MES,,,,,,0.25,0.9,,686
10.1002/adma.201602547,Carbon‐Based Microbial‐Fuel‐Cell Electrodes: From Conductive Supports to Active Catalysts,2017,Advanced Materials,MFC,,,,,,0.25,1,,412
10.1002/adma.201607046,Microtubular Fuel Cell with Ultrahigh Power Output per Footprint,2017,Advanced Materials,MEC,,,,,,0.375,0.6,,21
10.1002/adma.201800191,Electrochemical Ammonia Synthesis via Nitrogen Reduction Reaction on a MoS2 Catalyst: Theoretical and Experimental Studies,2018,Advanced Materials,MES,,,,,,0.125,0.8,,867
10.1002/adma.201800618,FeS<sub>2</sub> Nanoparticles Decorated Graphene as Microbial‐Fuel‐Cell Anode Achieving High Power Density,2018,Advanced Materials,MFC,achieving high power density,,,,,0.5,0.7,,187
10.1002/adma.201801348,Horizons for Li‐Ion Batteries Relevant to Electro‐Mobility: High‐Specific‐Energy Cathodes and Chemically Active Separators,2018,Advanced Materials,MES,,,,,,0.125,0.8,,132
10.1002/adma.201803498,Achieving a Record‐High Yield Rate of 120.9 μgNH3  mgcat.−1  h−1 for N2 Electrochemical Reduction over Ru Single‐Atom Catalysts,2018,Advanced Materials,MES,,,,29.6,,0.25,0.9,,902
10.1002/adma.201806236,High‐Entropy Oxides: Fundamental Aspects and Electrochemical Properties,2019,Advanced Materials,MES,,,,,,0.125,0.9,,1158
10.1002/adma.201900498,A High‐Performance Self‐Regenerating Solar Evaporator for Continuous Water Desalination,2019,Advanced Materials,MES,,,,,,0.125,0.8,,968
10.1002/adma.201901561,Multiscale Toughening Mechanisms in Biological Materials and Bioinspired Designs,2019,Advanced Materials,MES,,,,,,0.125,0.9,,621
10.1002/adma.201901677,Artificial Muscles Powered by Glucose,2019,Advanced Materials,,,,,,,,0.6,,56
10.1002/adma.201907404,Enabling Superior Sodium Capture for Efficient Water Desalination by a Tubular Polyaniline Decorated with Prussian Blue Nanocrystals,2020,Advanced Materials,MES,,,,,,0.25,0.9,,267
10.1002/adma.201908178,Living Bioelectrochemical Composites.,2019,"Advanced materials (Deerfield Beach, Fla.)",MFC,"[""GO""]","[""Cu"",""Fe"",""Ni""]",,,,0.375,0.7,,69
10.1002/adma.202001267,A Generalized Surface Chalcogenation Strategy for Boosting the Electrochemical N<sub>2</sub> Fixation of Metal Nanocrystals,2020,Advanced Materials,,,,,,,,0.6,,131
10.1002/adma.202001439,Organic Bioelectronics: From Functional Materials to Next‐Generation Devices and Power Sources,2020,Advanced Materials,MES,,,,,,0.125,1,,169
10.1002/adma.202005919,Photosynthetic Nanomaterial Hybrids for Bioelectricity and Renewable Energy Systems,2020,Advanced Materials,MES,,,,,,0.125,0.95,,22
10.1002/adma.202006042,Designing MOF Nanoarchitectures for Electrochemical Water Splitting,2021,Advanced Materials,MES,,,,,,0.125,0.9,,565
10.1002/adma.202007429,Electroactive Biomaterials and Systems for Cell Fate Determination and Tissue Regeneration: Design and Applications,2021,Advanced Materials,MES,,,,,,0.125,1,,454
10.1002/adma.202070034,"Carbon Nanotube Yarn: Carbon Nanotube Yarn for Fiber‐Shaped Electrical Sensors, Actuators, and Energy Storage for Smart Systems (Adv. Mater. 5/2020)",2020,Advanced Materials,MFC,"[""carbon nanotube""]","[""carbon""]",,,,0.25,0.5,,7
10.1002/adma.202070181,Bioelectrochemical Composites: Living Bioelectrochemical Composites (Adv. Mater. 24/2020),2020,Advanced Materials,BES,,,,,,0.125,0.85,,1
10.1002/adma.202102443,3D Printing a Biomimetic Bridge‐Arch Solar Evaporator for Eliminating Salt Accumulation with Desalination and Agricultural Applications,2021,Advanced Materials,MES,,,,91,,0.25,0.9,,362
10.1002/adma.202109365,A New Strategy for Microbial Taxonomic Identification through Micro‐Biosynthetic Gold Nanoparticles and Machine Learning,2022,Advanced Materials,MES,,,,,,0.375,1,,52
10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,Advanced Materials,MFC,,,,,,0.375,1,,60
10.1002/adma.202200380,A Fully Solution‐Printed Photosynaptic Transistor Array with Ultralow Energy Consumption for Artificial‐Vision Neural Networks,2022,Advanced Materials,MES,,,,,,0.25,0.9,,177
10.1002/adma.202203480,Enabling Electron Injection for Microbial Electrosynthesis with n‐Type Conjugated Polyelectrolytes,2022,Advanced Materials,MES,,,,,,0.25,1,,22
10.1002/adma.202207262,Hofmeister Effect‐Enhanced Hydration Chemistry of Hydrogel for High‐Efficiency Solar‐Driven Interfacial Desalination,2022,Advanced Materials,MES,,,,,,0.125,0.9,,262
10.1002/adma.202300890,Blood‐Glucose‐Powered Metabolic Fuel Cell for Self‐Sufficient Bioelectronics,2023,Advanced Materials,MFC,,,,,,,0.6,,60
10.1002/adma.202301898,Organic Electroactive Materials for Aqueous Redox Flow Batteries,2023,Advanced Materials,MES,,,,,,0.125,1,,121
10.1002/adma.202304465,"Multifunctional MOF‐Derived Au, Co‐Doped Porous Carbon Electrode for a Wearable Sweat Energy Harvesting–Storage Hybrid System",2023,Advanced Materials,,,,,,,,0.6,,56
10.1002/adma.202304667,A Functional Janus Ag Nanowires/Bacterial Cellulose Separator for High‐Performance Dendrite‐Free Zinc Anode Under Harsh Conditions,2023,Advanced Materials,MES,,,,,,0.375,1,,147
10.1002/adma.202304982,Microenvironment-Regulating Drug Delivery Nanoparticles for Treating and Preventing Typical Biofilm-Induced Oral Diseases.,2023,Advanced Materials,MES,,,,,,0.125,1,,56
10.1002/adma.202313953,Synergistic Brilliance: Engineered Bacteria and Nanomedicine Unite in Cancer Therapy,2024,Advanced Materials,MES,,,,,,0.125,1,,40
10.1002/adma.202401327,Spatially Precise Genetic Engineering at the Electrode‐Tissue Interface,2024,Advanced Materials,MES,,,,,,0.125,0.9,,9
10.1002/adma.202508570,Anti‐Corrosive Covalent Iodo‐Thiadiazole Catalyst Enables Aqueous Zn─S Batteries with High Coulombic Efficiency,2025,Advances in Materials,MES,,,,9.56,,0.375,0.75,,5
10.1002/adma.202508647,Early Terminating Solid Electrolyte Interphase Formation via Nucleophilic Fluorination to Achieve High Initial Coulombic Efficiency,2025,Advances in Materials,MEC,,,,2.1,,0.375,0.75,,2
10.1002/admi.201600619,Interfacial Assembly of Photosystem II with Conducting Polymer Films toward Enhanced Photo‐Bioelectrochemical Cells,2017,Advanced Materials Interfaces,BES,,,,,,0.125,1,,29
10.1002/admi.201800290,Microstructured Anodes by Surface Wrinkling for Studies of Direct Electron Transfer Biofilms in Microbial Fuel Cells,2018,Advanced Materials Interfaces,MFC,,,,,,0.375,1,,32
10.1002/admi.201870099,Carbon Nanotube Fibers: Chemically Reactive Polyurethane–Carbon Nanotube Fiber with Aerogel‐Microsphere‐Thin‐Film Selective Filter (Adv. Mater. Interfaces 20/2018),2018,Advanced Materials Interfaces,MFC,"[""carbon nanotube""]","[""carbon""]",,,,0.25,0.5,,1
10.1002/admi.202200275,Electro‐/Photo‐Thermal Promoted Anti‐Icing Materials: A New Strategy Combined with Passive Anti‐Icing and Active De‐Icing,2022,Advanced Materials Interfaces,MES,,,,,,0.125,0.8,,124
10.1002/admt.201700127,"A Papertronic, On‐Demand and Disposable Biobattery: Saliva‐Activated Electricity Generation from Lyophilized Exoelectrogens Preinoculated on Paper",2017,Advanced Materials Technologies,MFC,,,,,,,0.6,,59
10.1002/admt.202201324,Versatile Biosynthetic Approach to Regioselective Enzyme Patterning for Direct Bioelectrocatalysis Application,2023,Advanced Materials Technologies,MES,,,,,,0.375,0.9,,2
10.1002/admt.202301035,Integrating Renewable Microbial Fuel Cells in Dual In‐Line Package for Chip‐On‐Board Circuits,2023,Advanced Materials Technologies,MFC,,,,,,0.5,1,,2
10.1002/admt.202302194,Wearable Multi‐Plied Potentiometric Sensor based on Carbon Nanotube Yarn for Electronic Tongue,2024,Advanced Materials Technologies,MES,,,,,,0.25,0.95,,4
10.1002/admt.202400426,Revolutionizing Aquatic Robotics: Advanced Biomimetic Strategies for Self‐Powered Mobility Across Water Surfaces,2024,Advanced Materials Technologies,MFC,,,,,,0.25,1,,1
10.1002/admt.202401399,Flexible Single‐Layer Fabric‐Based Co‐Laminar Flow Photosynthetic Microbial Fuel Cell,2024,Advanced Materials Technologies,MFC,,,,,,0.375,0.7,,1
10.1002/adsc.200303183,"Microbial Transformations, 56. Preparative Scale Asymmetric Baeyer–Villiger Oxidation using a Highly Productive “Two‐in‐One” Resin‐Based <i>in situ</i> SFPR Concept",2004,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.125,0.9,,108
10.1002/adsc.200303210,Simple Biocatalytic Access to Enantiopure (<i>S</i>)‐1‐Heteroarylethanols Employing a Microbial Hydrogen Transfer Reaction,2004,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.25,0.9,,53
10.1002/adsc.200390050,"Industrialization of the Microbial Resolution of Chiral C<sub>3</sub> and C<sub>4</sub> Synthetic Units: From a Small Beginning to a Major Operation, a Personal Account",2003,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.375,1,,27
10.1002/adsc.200505062,Current and Emerging Approaches for Natural Product Biosynthesis in Microbial Cells,2005,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.125,1,,34
10.1002/adsc.200505072,Regioselective Phosphorylation of Carbohydrates and Various Alcohols by Bacterial Acid Phosphatases; Probing the Substrate Specificity of the Enzyme from <i>Shigella flexneri</i>,2005,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.25,0.9,,53
10.1002/adsc.200700072,Comparing the Stereoselective Biooxidation of Cyclobutanones by Recombinant Strains Expressing Bacterial Baeyer–Villiger Monooxygenases,2007,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.125,0.9,,49
10.1002/adsc.200800200,Asymmetric Carbonyl Reductions with Microbial Ketoreductases,2008,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.125,0.9,,24
10.1002/adsc.200900190,A Diversified Library of Bacterial and Fungal Bifunctional Cytochrome P450 Enzymes for Drug Metabolite Synthesis,2009,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.25,0.9,,48
10.1002/adsc.201100132,Efficient Reduction of Ethyl 2‐Oxo‐4‐phenylbutyrate at 620 g⋅L<sup>−1</sup> by a Bacterial Reductase with Broad Substrate Spectrum,2011,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.375,0.9,,57
10.1002/adsc.201300784,"Microbial Synthesis of Medium‐Chain α,ω‐Dicarboxylic Acids and ω‐Aminocarboxylic Acids from Renewable Long‐Chain Fatty Acids",2014,Advanced Synthesis &amp; Catalysis,MES,,,,,,0.375,0.9,,121
